BPA,Address,Description,PTS Existing Units,PTS Proposed Units,Proposed Units,Net Units,Net Units Completed,First Completion Date,Latest Completion Date,Extremely Low Income,Very Low Income,Low Income,Moderate Income,Moderate Income - NDR,Affordable Units,Market Rate,Affordable Units Estimate,Supervisor District,Analysis Neighborhood,Planning Dist.,Plan Area,Form No.,Permit Type,Issued Date,Authorization Date,Zoning District,Project Affordability Type,BlockLot,PPTS Project ID
200710185828,698 Plymouth Av,"erect 3story, type vn single family dwelling.",0,1,1,1,1,03/07/2012 12:00:00 AM,03/07/2012 12:00:00 AM,0,0,0,0,0,0,1,,11,Oceanview/Merced/Ingleside,13 - Ingleside,,2,Site Permit,01/13/2011 12:00:00 AM,01/13/2011 12:00:00 AM,RH-1,,7067014,2008.0624
200710185830,688 Plymouth Av,"erect 3story, type vb single family dwelling.",0,1,1,1,1,03/07/2012 12:00:00 AM,03/07/2012 12:00:00 AM,0,0,0,0,0,0,1,,11,Oceanview/Merced/Ingleside,13 - Ingleside,,2,Site Permit,01/13/2011 12:00:00 AM,01/13/2011 12:00:00 AM,RH-1,,7067014,2008.0624
200710185832,89 Montana St,"erect 3story, type vb single family dwelling.",0,1,1,1,1,03/07/2012 12:00:00 AM,03/07/2012 12:00:00 AM,0,0,0,0,0,0,1,,11,Oceanview/Merced/Ingleside,13 - Ingleside,,2,Site Permit,01/13/2011 12:00:00 AM,01/13/2011 12:00:00 AM,RH-1,,7067014,2008.0624
200710185839,350 LINDEN ST,Erect a new 4-story 6 UNITS mixed-use building with a basement. R-1/B occupancies.,0,6,6,6,6,01/26/2015 12:00:00 AM,01/26/2015 12:00:00 AM,0,0,0,0,0,0,6,,5,Hayes Valley,5 - Western Addition,,2,Site Permit,05/08/2012 12:00:00 AM,02/26/2013 12:00:00 AM,NCT,,0817069,2007.1156
200710195923,277 San Carlos St,"to erect 4 stories, 2 family dwellings unit.",0,2,2,2,2,07/31/2012 12:00:00 AM,07/31/2012 12:00:00 AM,0,0,0,0,0,0,2,,9,Mission,8 - Mission,,2,Site Permit,06/29/2011 12:00:00 AM,06/29/2011 12:00:00 AM,NC-1,,3596017A,2012.0213
200710266519,1625 48th Av,to erect 1 dwelling unit with 3 story new building.,0,1,1,1,1,05/18/2012 12:00:00 AM,05/18/2012 12:00:00 AM,0,0,0,0,0,0,1,,4,Sunset/Parkside,15 - Outer Sunset,Western Shoreline,2,Full BP,04/14/2008 12:00:00 AM,04/14/2008 12:00:00 AM,RH-2,,1895006,2004.0753
200710306825,2139 Ofarrell St,to erect a new 21 affordable housing with 3 story and 1 basement  building.,0,21,21,21,21,02/01/2011 12:00:00 AM,02/01/2011 12:00:00 AM,0,0,21,0,0,21,0,,5,Western Addition,5 - Western Addition,,2,Site Permit,10/02/2008 12:00:00 AM,10/02/2008 12:00:00 AM,RM-3,100% Affordable,1101022,
200710306887,762 30th Av,rename existing rec rm. to living rm. & existing family rm to bedroom.  change of use from one single family dwelling to a two family dwelling. (2 units),1,2,2,1,1,03/25/2008 12:00:00 AM,03/25/2008 12:00:00 AM,0,0,0,0,0,0,1,,1,Outer Richmond,1 - Richmond,,3,Full BP,03/03/2008 12:00:00 AM,03/03/2008 12:00:00 AM,RH-2,,1615013J,2007.1253
200710316935,831 Brussels St,"to comply with nov #200793351 & #200793471 to remove illegal studio apt, 1 bathroom & kitchen, legalize new storage room in basement & new deck @ rear yard.",2,1,1,-1,-1,05/07/2009 12:00:00 AM,05/07/2009 12:00:00 AM,0,0,0,0,0,0,-1,,9,Portola,12 - South Central,,3,Site Permit,03/03/2008 12:00:00 AM,03/03/2008 12:00:00 AM,RH-1,,6155016,
200710316965,3077 22nd St,erect a 4 stories 3 families dwellings,0,3,3,3,3,05/13/2010 12:00:00 AM,05/13/2010 12:00:00 AM,0,0,0,0,0,0,3,,9,Mission,8 - Mission,,2,Site Permit,07/06/2009 12:00:00 AM,07/06/2009 12:00:00 AM,RH-3,,3638088,
200711017044,3083 22nd St,to erect 4 stories of 3 families dwellings (type 5).,0,3,3,3,3,06/07/2010 12:00:00 AM,06/07/2010 12:00:00 AM,0,0,0,0,0,0,3,,9,Mission,8 - Mission,,2,Site Permit,11/24/2008 12:00:00 AM,11/24/2008 12:00:00 AM,RH-3,,3638087,
200711027219,536 Central Av,"new construction of a 3story, type5:1hr. residential structure with (5) bedrooms and elevator. total sq. ft. 4,630 sq. ft. building use; youth shelter. congregate residence",0,1,1,1,1,04/21/2010 12:00:00 AM,04/21/2010 12:00:00 AM,0,0,0,0,0,0,1,,5,Lone Mountain/USF,5 - Western Addition,,2,Site Permit,08/06/2008 12:00:00 AM,08/06/2008 12:00:00 AM,RH-3,,1198024,2007.0219
200711057308,641 27th Av,demolish 2 story single fanily residence,1,0,0,-1,-1,06/11/2012 12:00:00 AM,06/11/2012 12:00:00 AM,0,0,0,0,0,0,-1,,1,Outer Richmond,1 - Richmond,,6,Full BP,12/09/2011 12:00:00 AM,12/09/2011 12:00:00 AM,RH-2,,1570003C,
200711057313,643 27th Av,constuct new 4-story type 5 single family 2-unit bldg.,0,2,2,2,2,12/04/2013 12:00:00 AM,12/04/2013 12:00:00 AM,0,0,0,0,0,0,2,,1,Outer Richmond,1 - Richmond,,2,Site Permit,12/09/2011 12:00:00 AM,05/21/2012 12:00:00 AM,RH-2,,1570003C,2009.0019
200711077495,511 Campbell Av,"erect 3story over crawlspace, 
house.",0,1,1,1,1,05/26/2009 12:00:00 AM,05/26/2009 12:00:00 AM,0,0,0,0,0,0,1,,10,Visitacion Valley,12 - South Central,Visitacion Valley,2,Site Permit,03/27/2008 12:00:00 AM,03/27/2008 12:00:00 AM,RH-1,,6209047,
200711077576,83 PANORAMA DR,"ERECT A NEW 2 STORY, SINGLE DWELLING UNIT BUILDING.",0,1,1,1,1,05/09/2016 12:00:00 AM,05/09/2016 12:00:00 AM,0,0,0,0,0,0,1,,7,Twin Peaks,14 - Inner Sunset,,2,Site Permit,04/04/2014 12:00:00 AM,04/04/2014 12:00:00 AM,P,,2821023,
200711077585,262 Madison St,bldg 1 - construct 3 story single family dwelling,0,1,1,1,1,11/06/2014 12:00:00 AM,11/06/2014 12:00:00 AM,0,0,0,0,0,0,1,,9,Excelsior,12 - South Central,,2,Site Permit,04/15/2011 12:00:00 AM,05/08/2013 12:00:00 AM,RH-1,,5943050,2008.1203
200711137944,3135 24th St,2 story vertical addition. 9 residential unit addition. extension of existing code compliant stairway.,0,9,9,9,9,01/16/2014 12:00:00 AM,01/16/2014 12:00:00 AM,0,0,0,0,0,0,9,,9,Mission,8 - Mission,,3,Site Permit,09/04/2012 12:00:00 AM,10/03/2012 12:00:00 AM,NCT,,6520036,2005.1076
200711148042,1591 Pacific Av,construction of type 5 over 1 5-story 41 dwelling units/retail space.,0,41,41,41,41,06/19/2013 12:00:00 AM,06/19/2013 12:00:00 AM,0,0,0,0,0,0,41,,3,Russian Hill,3 - Northeast,,2,Site Permit,08/17/2011 12:00:00 AM,11/08/2011 12:00:00 AM,NCD,Inclu: Fee Payment,0596024,2008.0166
200711148137,577 29TH ST,Three-story horizontal addition to the rear. Add one additional unit and a rear deck with stair as well as a renovation to the existing building.,1,2,2,1,1,07/10/2014 12:00:00 AM,07/10/2014 12:00:00 AM,0,0,0,0,0,0,1,,8,Noe Valley,7 - Central,,3,Site Permit,06/23/2009 12:00:00 AM,06/23/2009 12:00:00 AM,RH-2,,6630031,2008.0087
200711158292,640 28th Av,"violation correction #200726030, remove unworranted unit #""1a""  remove stove & cap utilities & partitions.",6,5,5,-1,-1,07/11/2008 12:00:00 AM,07/11/2008 12:00:00 AM,0,0,0,0,0,0,-1,,1,Outer Richmond,1 - Richmond,,8,Full BP,12/13/2007 12:00:00 AM,12/13/2007 12:00:00 AM,RH-2,,1570015,
200711198515,658 03RD AV,Vertical extension to convert a 2 story + attic single family residential building by adding one story to become a 3 story with attic building with 2 units.,1,2,2,1,1,04/14/2016 12:00:00 AM,04/14/2016 12:00:00 AM,0,0,0,0,0,0,1,,1,Inner Richmond,1 - Richmond,,3,Site Permit,01/25/2013 12:00:00 AM,08/13/2014 12:00:00 AM,RH-2,,1642036,2007.136
200711198535,1359 Mcallister St,legalize 4th unit at ground floor. there is no work to be done. the (e) unit will become the 4th dwelling unit.,3,4,4,1,1,04/12/2010 12:00:00 AM,04/12/2010 12:00:00 AM,0,0,0,0,0,0,1,,5,Western Addition,5 - Western Addition,,3,Full BP,05/28/2009 12:00:00 AM,05/28/2009 12:00:00 AM,RM-1,,0778015,
200711218735,527 Oxford St,"new construction of a 4story, single family dwelling on a vacant lot.",0,1,1,1,1,12/29/2008 12:00:00 AM,12/29/2008 12:00:00 AM,0,0,0,0,0,0,1,,11,Portola,12 - South Central,,2,Site Permit,02/22/2008 12:00:00 AM,02/22/2008 12:00:00 AM,RH-1,,6034021,
200711218770,38 Hotaling Pl,"demo of non historic street level doors and storefront. demo of 3rd fl office tenant improvements. new residential int. walls, doors,finishes on 3/f. new stair 3rd to roof w/ stair pernthouse and roof deck. new egress balconies @ rear of 2/f & 3/f with ladders to roof.",0,1,1,1,1,08/10/2009 12:00:00 AM,08/10/2009 12:00:00 AM,0,0,0,0,0,0,1,,3,Chinatown,3 - Northeast,,3,Site Permit,07/28/2008 12:00:00 AM,07/28/2008 12:00:00 AM,C-2,,0196018,2008.0204
200711289148,248 Ocean Av,"new construction of a 4-story over basement, mixed use building consisting of 5-dwelling units and an office commercial use on the ground floor.",0,5,5,5,5,04/22/2014 12:00:00 AM,04/22/2014 12:00:00 AM,0,0,0,0,0,0,5,,11,Outer Mission,12 - South Central,Ocean and Geneva Corridor Design Plan,2,Site Permit,08/25/2011 12:00:00 AM,10/05/2011 12:00:00 AM,NC-1,Inclu: Fee Payment,3211009,2007.1470
200711289152,248 Ocean Av,"demolish a two-story, single-family builidng and replace it with a nea 4-story over basement mixed-use builidng consisting of 5 dwelling units and an office/commercial use at ground floor.",1,0,0,-1,-1,10/20/2011 12:00:00 AM,10/20/2011 12:00:00 AM,0,0,0,0,0,0,-1,,11,Outer Mission,12 - South Central,Ocean and Geneva Corridor Design Plan,6,Full BP,08/25/2011 12:00:00 AM,08/25/2011 12:00:00 AM,NC-1,,3211009,
200711309388,1870 Golden Gate Av,"to erect 4 stories, 3 units apartments & garage.",0,3,3,3,3,07/08/2014 12:00:00 AM,07/08/2014 12:00:00 AM,0,0,0,0,0,0,3,,5,Western Addition,5 - Western Addition,,2,Full BP,02/13/2013 12:00:00 AM,02/13/2013 12:00:00 AM,RM-1,,1152017,2014.0695
200712039477,847 Cole St,"dwelling unit merger from 5 units to 3 units. unit #847from 2 units to 1 single unit, unit #851from 2 units to 1 single unit. building returning to original configuration, work done by previous owner.legalize extng condition as 3 units.",5,3,3,-2,-2,09/26/2008 12:00:00 AM,09/26/2008 12:00:00 AM,0,0,0,0,0,0,-2,,8,Haight Ashbury,6 - Buena Vista,Haight Ashbury Public Realm Plan,3,Full BP,03/04/2008 12:00:00 AM,03/04/2008 12:00:00 AM,RH-3,,1267008,2008.0137
200712049630,55 VWaterville St,construction of three story single family dwelling on vacant lot.,0,1,1,1,1,05/07/2013 12:00:00 AM,05/07/2013 12:00:00 AM,0,0,0,0,0,0,1,,10,Bayview Hunters Point,10 - South Bayshore,Bayview Hunters Point,2,Site Permit,07/14/2009 12:00:00 AM,07/14/2009 12:00:00 AM,RH-1,,5379029,
200712069782,421 Moraga St,one story vertical addition w/ a two story horizontal addition to the rear including adding a 2nd unit with a 2nd parking space. work includes demolition of (e) walls.,1,2,2,1,1,02/07/2011 12:00:00 AM,02/07/2011 12:00:00 AM,0,0,0,0,0,0,1,,7,Inner Sunset,14 - Inner Sunset,,3,Site Permit,05/05/2008 12:00:00 AM,05/05/2008 12:00:00 AM,RH-2,,2039045,
200712069818,327 Eureka St,"merge 2 units into 1 unit. add interior stair, move fireplace, lower fl. elevation @ ground fl. voluntary seismic upgrade. full interior remodel. replace fau w/radiant heat system. add 2 skylights, repair deck @ rear.",2,1,1,-1,-1,04/22/2009 12:00:00 AM,04/22/2009 12:00:00 AM,0,0,0,0,0,0,-1,,8,Castro/Upper Market,7 - Central,,3,Site Permit,06/03/2008 12:00:00 AM,06/03/2008 12:00:00 AM,RH-2,,2750027,2008.0141
200712069866,1285 Sutter St,"to erect 13 stories, 107 condos and ground floor commericial with 4 basements.",0,107,107,107,107,09/30/2013 12:00:00 AM,09/30/2013 12:00:00 AM,0,0,0,0,0,0,107,,3,Nob Hill,4 - Downtown,Van Ness Corridor,1,Site Permit,08/15/2011 12:00:00 AM,11/22/2011 12:00:00 AM,RC-4,Inclu: Fee Payment,0691008,2005.0298
200712110197,206 Clinton Pk,to expand existing rear yard one story detached structure. to add one residential unit vertically above the existing garage.,0,1,1,1,1,02/08/2012 12:00:00 AM,02/08/2012 12:00:00 AM,0,0,0,0,0,0,1,,8,Mission,8 - Mission,,3,Site Permit,08/12/2009 12:00:00 AM,08/12/2009 12:00:00 AM,RTO,,3534005,2007.1422
200712120282,353 San Jose Av,demolition of one story single family dwelling.,1,0,0,-1,-1,12/23/2014 12:00:00 AM,12/23/2014 12:00:00 AM,0,0,0,0,0,0,-1,,8,Mission,8 - Mission,,6,Full BP,04/24/2013 12:00:00 AM,04/24/2013 12:00:00 AM,RM-2,,6531022,2010.1040
200712120285,353 San Jose Av,CONSTRUCTION OF FOUR-STORY FOUR DWELLING UNITS.,0,4,4,4,4,01/10/2017 12:00:00 AM,01/10/2017 12:00:00 AM,0,0,0,0,0,0,4,,8,Mission,8 - Mission,,2,Site Permit,04/24/2013 12:00:00 AM,10/09/2014 12:00:00 AM,RM-2,,6531022,2009.0173
200712120290,3534 TARAVAL ST,VERTIACL & HORIZONTAL ADDITION TO EXISTING BUILDING. CONVERT EXISTING RETAIL TO 3 FAMILY DWELLING. REF APPL #356796 ISSUED 6/28/1968.,0,3,3,3,3,12/14/2017 12:00:00 AM,12/14/2017 12:00:00 AM,0,0,0,0,0,0,3,,4,Sunset/Parkside,15 - Outer Sunset,,3,Site Permit,04/01/2016 12:00:00 AM,04/01/2016 12:00:00 AM,RH-1,,2374019,2008.0336
200712120313,1462 14th Av,"10' vertical additon of new dwelling unit, 2 bedrooms, 2 bathroom & 4' horizontal addition to enclose (e) entry stairs. new deck & stair at rear.",1,2,2,1,1,02/18/2009 12:00:00 AM,02/18/2009 12:00:00 AM,0,0,0,0,0,0,1,,7,Inner Sunset,14 - Inner Sunset,,3,Site Permit,04/18/2008 12:00:00 AM,04/18/2008 12:00:00 AM,RH-2,,1840025,
200712140534,1 STANYAN ST,"TO ERECT 4 STORIES, NO BASEMENT, 13 UNITS RESIDENTIAL WITH RETAIL & PARKING BUILDING.",0,13,13,13,13,08/09/2018 12:00:00 AM,08/09/2018 12:00:00 AM,0,0,0,0,0,0,13,,1,Lone Mountain/USF,1 - Richmond,Geary Corridor,2,Site Permit,06/15/2016 12:00:00 AM,12/22/2016 12:00:00 AM,NCD,Inclu: Fee Payment,1084001B,2007.0113
200712180713,1 South Park,"interior remodel and merging of two unoccupied condo units 306 & 307. 2 unoccupied units were converted from warehouse use to res. use under appl#200405194312 themerger has been approved for admin. revision without dr or cu hearing by larry badiner, zoning administor.",35,34,34,-1,-1,07/10/2008 12:00:00 AM,07/10/2008 12:00:00 AM,0,0,0,0,0,0,-1,,6,Financial District/South Beach,9 - South of Market,Rincon Hill,8,Full BP,12/21/2007 12:00:00 AM,12/21/2007 12:00:00 AM,CMUO,,3775007,
200712180764,2033 Bush St,change of use from sfd to duplex. install new kitchen to convert ground floor into a new dwelling unit. removing (e) interior stairs. reinforce basement floor framing.,1,2,2,1,1,03/03/2010 12:00:00 AM,03/03/2010 12:00:00 AM,0,0,0,0,0,0,1,,5,Pacific Heights,5 - Western Addition,Japantown,3,Full BP,08/22/2008 12:00:00 AM,08/22/2008 12:00:00 AM,RM-3,,0676026A,
200712201032,168 CLIPPER ST,"ERECT A NEW 3 STORY, 2 FAMILY DWELLING UNITS.",0,2,2,2,2,06/29/2015 12:00:00 AM,06/29/2015 12:00:00 AM,0,0,0,0,0,0,2,,8,Noe Valley,7 - Central,,2,Site Permit,07/30/2010 12:00:00 AM,10/11/2013 12:00:00 AM,RH-2,,6549021,2008.0278
200712211161,278 Granada Av,"vertical & horiz addition & interior remodel   accomodate 1 add'l unit. 1 add'l parking space to be added to (e) 1 car garage. changes to the 1/fl incl the add'l of a kitchen, 1 new bathroom & 2 bedrms. change 2/fl incl 1 new bathroom & 2 new bedrms. proposed patio on 1/fl & a deck on 2/fl.",1,2,2,1,1,04/20/2009 12:00:00 AM,04/20/2009 12:00:00 AM,0,0,0,0,0,0,1,,11,Oceanview/Merced/Ingleside,13 - Ingleside,,3,Site Permit,05/23/2008 12:00:00 AM,05/23/2008 12:00:00 AM,RH-2,,6942048,2008.1018
200712211163,2428 Union St,"units 2 & 4  merge two units, one above the other, add circular stair (not required means of egress), minor kitchen changes to accomodate stair, removal of kitchen, change kitchen to wet bar/study.",4,3,3,-1,-1,11/03/2008 12:00:00 AM,11/03/2008 12:00:00 AM,0,0,0,0,0,0,-1,,2,Marina,2 - Marina,,3,Full BP,07/21/2008 12:00:00 AM,07/21/2008 12:00:00 AM,RH-2,,0536035,2008.0230
200712211173,373 06th Av,"erect 3 stories, 1 unit bldg at rear lot.",0,1,1,1,1,03/25/2010 12:00:00 AM,03/25/2010 12:00:00 AM,0,0,0,0,0,0,1,,1,Inner Richmond,1 - Richmond,Geary Corridor,2,Full BP,05/29/2008 12:00:00 AM,05/29/2008 12:00:00 AM,NCD,,1438015,2007.1252
200712241235,2626 Filbert St,demolish 3 story single family dwelling.,1,0,0,-1,-1,06/18/2013 12:00:00 AM,06/18/2013 12:00:00 AM,0,0,0,0,0,0,-1,,2,Marina,2 - Marina,,6,Full BP,08/23/2010 12:00:00 AM,08/23/2010 12:00:00 AM,RH-1,,0943003B,2009.0200
200712271380,601 DOLORES ST,"convert vacant church to single family home and studio, (private) to perform structural strengthening of structure, renovate kitchen/baths and finishes, repair dryrot and someother repairs, new roofing. existing type iiinr construction to be down rated to type vnr construction under this permit.",0,1,1,1,1,10/16/2008 12:00:00 AM,10/16/2008 12:00:00 AM,0,0,0,0,0,0,1,,8,Mission,8 - Mission,Mission District Streetscape Plan,3,Site Permit,06/04/2008 12:00:00 AM,06/04/2008 12:00:00 AM,RH-3,,3598060,2008.0127
200712281474,1101 SOUTH VAN NESS AV,"ERECT 4-STORY, 3-UNIT CONDOMINIUMS.",0,3,3,3,3,08/17/2021 12:00:00 AM,08/17/2021 12:00:00 AM,0,0,0,0,0,0,3,,9,Mission,8 - Mission,,2,Site Permit,12/21/2017 12:00:00 AM,07/16/2020 12:00:00 AM,RH-3,,3638085,2008.1172
200712281544,242 Sagamore St,new two story single family house.,0,1,1,1,1,10/30/2009 12:00:00 AM,10/30/2009 12:00:00 AM,0,0,0,0,0,0,1,,11,Oceanview/Merced/Ingleside,13 - Ingleside,,2,Site Permit,11/07/2008 12:00:00 AM,11/07/2008 12:00:00 AM,RH-1,,7137016,2008.0438
200712311569,875 Post St,vacant ground floor space to be converted to 4 dwelling units on existin builidng. work to include remodel at 2nd floor manager's apt to raise floor for headroom below. convert tourist hotel to sro residental hotel. fire sprinklers and alarm under separate permit,46,50,50,4,4,09/13/2018 12:00:00 AM,09/13/2018 12:00:00 AM,0,0,0,0,0,0,4,,6,Tenderloin,4 - Downtown,,3,Full BP,07/20/2012 12:00:00 AM,07/20/2012 12:00:00 AM,RC-4,,0303014,2007.1056
200712311658,1627 15TH AV,legalize basement including remodel bathroom to comply with NOV# 200707233. Remove wet bar.,1,1,0,-1,-1,09/27/2018 12:00:00 AM,09/27/2018 12:00:00 AM,0,0,0,0,0,0,-1,,7,Inner Sunset,14 - Inner Sunset,,8,Full BP,12/31/2007 12:00:00 AM,12/31/2007 12:00:00 AM,RH-1,,1928033,
200801021686,2131 North Point St,2 story vertical and horizontal addition. remove stair from ex. lightwell. remodel ex. 1st and 2nd floors. convert 1 family dwelling to 2 family.,1,2,2,1,1,05/10/2018 12:00:00 AM,05/10/2018 12:00:00 AM,0,0,0,0,0,0,1,,2,Marina,2 - Marina,,3,Site Permit,02/14/2014 12:00:00 AM,10/29/2014 12:00:00 AM,RH-3,,0921039,2008.0406
200801041839,3240 Folsom St,revision to pa# 207/1/9/1246 to convert ex. commercial space to residential space and creat a 2nd residential unit,1,2,2,1,1,06/23/2008 12:00:00 AM,06/23/2008 12:00:00 AM,0,0,0,0,0,0,1,,9,Bernal Heights,11 - Bernal Heights,,3,Full BP,03/21/2008 12:00:00 AM,03/21/2008 12:00:00 AM,RH-2,,5523007,
200801152502,259 Brighton Av,1) three story rear addition (total area: 1908 sq. ft.) 2) add one unit on 3rd floor.,1,2,2,1,1,07/23/2010 12:00:00 AM,07/23/2010 12:00:00 AM,0,0,0,0,0,0,1,,11,Oceanview/Merced/Ingleside,13 - Ingleside,,3,Site Permit,06/04/2008 12:00:00 AM,06/04/2008 12:00:00 AM,RH-2,,6943007,
200801233030,1160 Mission St,"unit 2304  2306  remove nonbearing wall between units; remove (e) kitchen, new cabinetry; new shower enclosures, new flooring.",250,249,249,-1,-1,04/28/2008 12:00:00 AM,04/28/2008 12:00:00 AM,0,0,0,0,0,0,-1,,6,South of Market,4 - Downtown,Downtown,3,Full BP,02/14/2008 12:00:00 AM,02/14/2008 12:00:00 AM,C-3-G,,3702037,
200801253265,2001 19th St,bldg 2  construction of a new threestory single family dwelling building.,0,1,1,1,1,09/27/2010 12:00:00 AM,09/27/2010 12:00:00 AM,0,0,0,0,0,0,1,,10,Potrero Hill,9 - South of Market,Mission Bay,2,Site Permit,06/23/2009 12:00:00 AM,06/23/2009 12:00:00 AM,RH-2,,4073039,
200801253266,2005 19th St,bldg 1  construction of a new threestory single family building.,0,1,1,1,1,09/29/2010 12:00:00 AM,09/29/2010 12:00:00 AM,0,0,0,0,0,0,1,,10,Potrero Hill,9 - South of Market,Mission Bay,2,Site Permit,06/23/2009 12:00:00 AM,06/23/2009 12:00:00 AM,RH-2,,4073039,
200801283338,421 Buena Vista East Av,"verify app 200603227317, units 423 and 425 are merged into 1 and from now on only known as 425 buena vista east and units 427 a and b are merged into 1 and now know as 427 a  buena vista ave east",13,11,11,-2,-2,02/04/2008 12:00:00 AM,02/04/2008 12:00:00 AM,0,0,0,0,0,0,-2,,8,Castro/Upper Market,6 - Buena Vista,,8,Full BP,01/28/2008 12:00:00 AM,01/28/2008 12:00:00 AM,RH-3,,2607067,
200802064209,451 34th Av,to convert a 2 story single family residential bldg into a 4-story 2 residential units bldg by vertical and horizontal additions to the existing bldg.,1,2,2,1,1,01/24/2013 12:00:00 AM,01/24/2013 12:00:00 AM,0,0,0,0,0,0,1,,1,Outer Richmond,1 - Richmond,Geary Corridor,3,Site Permit,11/09/2011 12:00:00 AM,11/09/2011 12:00:00 AM,RH-2,,1466009,2008.0872
200802074287,2541 Washington St,"convert existing storage space on the ground floor into a new dwelling unit. new 1 bedroom, kitchen, living rm and bathroom. work to include partitions, doors, electrical, lighting, mechanical and plumbing.",1,2,2,1,1,09/17/2008 12:00:00 AM,09/17/2008 12:00:00 AM,0,0,0,0,0,0,1,,2,Pacific Heights,2 - Marina,,3,Site Permit,07/03/2008 12:00:00 AM,07/03/2008 12:00:00 AM,RH-2,,0611027,
200802084340,1432 23rd Av,to erect 3 story single family dwelling.,0,1,1,1,1,05/27/2011 12:00:00 AM,05/27/2011 12:00:00 AM,0,0,0,0,0,0,1,,4,Sunset/Parkside,15 - Outer Sunset,,2,Site Permit,08/07/2008 12:00:00 AM,08/07/2008 12:00:00 AM,RH-1,,1831057,
200802134718,622 Spruce St,"upper level: remove wall in hallway, replace lath & plaster w/drywall 3 rooms & hall.remodel kitchen & move into (e) bedroom. remodel bathroom,move 1/2 bath,add stairway to lower level.  downstairs.remove kitchen & replace with bathroom, add laundry closet. move rear door, combine ex 2 units to 1.",2,1,1,-1,-1,03/05/2009 12:00:00 AM,03/05/2009 12:00:00 AM,0,0,0,0,0,0,-1,,2,Presidio Heights,1 - Richmond,Geary Corridor,3,Full BP,03/14/2008 12:00:00 AM,03/14/2008 12:00:00 AM,RH-2,,1066045,
200802215224,1818 Silver Av,"remove illegal unit at ground floor incl. kitchen, and bath tub. legalize (n) half bathroom. legalize (e) bedrooms, (e)family room and (e)half bath room at ground floor.",2,1,1,-1,-1,06/06/2008 12:00:00 AM,06/06/2008 12:00:00 AM,0,0,0,0,0,0,-1,,10,Bayview Hunters Point,10 - South Bayshore,Bayview Hunters Point,8,Full BP,02/21/2008 12:00:00 AM,02/21/2008 12:00:00 AM,RH-1,,5395060,
200802265608,543 Grove St,erect 4 stories 3 dwelling units,0,3,3,3,3,01/31/2013 12:00:00 AM,01/31/2013 12:00:00 AM,0,0,0,0,0,0,3,,5,Hayes Valley,5 - Western Addition,,2,Site Permit,08/03/2011 12:00:00 AM,05/07/2012 12:00:00 AM,RTO,,0807022,2008.0568
200802275673,1450 Post St,"revision to appl #200801112327: 2nd,3rd,4rd and 11th floors, units 215 & 217 combining to 215; units 315 & 317 combining to make 315; units 415 & 417 combining to make 415; units 912, 915 & 917 combining to make 915; units 1115 & 1117 combining to make 1115. sprinkler under separate permit.",116,110,110,-6,-6,04/10/2009 12:00:00 AM,04/10/2009 12:00:00 AM,0,0,0,0,0,0,-6,,5,Japantown,5 - Western Addition,Japantown,8,Full BP,03/26/2008 12:00:00 AM,03/26/2008 12:00:00 AM,RM-4,,0688042,
200803056339,455 Buena Vista East Av,erect a 4 stories single family dwelling.,0,1,1,1,1,05/20/2010 12:00:00 AM,05/20/2010 12:00:00 AM,0,0,0,0,0,0,1,,8,Castro/Upper Market,6 - Buena Vista,,2,Site Permit,08/22/2008 12:00:00 AM,08/22/2008 12:00:00 AM,RH-3,,2607270,2000.581
200803066547,68 Divisadero St,"to abate complaint #200736932 and convert (e) 2 units and 1 housekeeping into 3 apts, as per letter attached from dbi & sffd and install shearwalls at 1st floor only. fire sprinklers under seperate permit",2,3,3,1,1,07/22/2009 12:00:00 AM,07/22/2009 12:00:00 AM,0,0,0,0,0,0,1,,8,Castro/Upper Market,6 - Buena Vista,,8,Full BP,03/18/2008 12:00:00 AM,03/18/2008 12:00:00 AM,RH-3,,2611032,
200803076592,246 02nd St,"merger units 1701 and 1702 by removing wall to comply with nov 200011432, 98024675s for reference. mep not in permit.",92,91,91,-1,-1,10/28/2008 12:00:00 AM,10/28/2008 12:00:00 AM,0,0,0,0,0,0,-1,,6,Financial District/South Beach,9 - South of Market,Downtown,3,Full BP,09/12/2008 12:00:00 AM,09/12/2008 12:00:00 AM,C-3-O(SD),,3735156,
200803106722,1016 Lombard St,"convert ex. single family home into 2 dwelling units. convert ex. storage on the ground floor a new office/study room with half bath,and 2 storage, ex. 2/f & 3/f to convert each floor to separate unit. new slab and foundation work. replace ex. wood stairs in the rear in kind.5'away from prop. line",1,2,2,1,1,01/24/2011 12:00:00 AM,01/24/2011 12:00:00 AM,0,0,0,0,0,0,1,,3,Russian Hill,3 - Northeast,,3,Site Permit,01/27/2009 12:00:00 AM,01/27/2009 12:00:00 AM,RH-3,,0068008,
200803187436,428 Capp St,"remodel & legalize (e) rear unit. replace & relocate (e) bathroom, new wetbar/kitchen, new walkin closet, 4 new skylight, 3 new closets, replace (e) garage door by (n) tempered glass sliding door,replace (e) door by (n)window to match (e), new roof & interior walls, foundation reinforcement.",1,1,0,-1,-1,11/08/2011 12:00:00 AM,11/08/2011 12:00:00 AM,0,0,0,0,0,0,-1,,9,Mission,8 - Mission,,3,Site Permit,10/20/2009 12:00:00 AM,10/29/2010 12:00:00 AM,RTO-M,,3595035,
